"filename", "language", "Shell Script", "Markdown", "pip requirements", "JavaScript JSX", "Python", "JavaScript", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"c:\HRMS\frontend\src\modules\correspondences\IncomingLetters.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\HRMS\frontend\src\modules\correspondences\Organizations.jsx", "JavaScript JSX", 0, 0, 0, 190, 0, 0, 0, 0, 0, 3, 15, 208
"c:\HRMS\frontend\src\modules\correspondences\OutgoingLetters.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"c:\HRMS\frontend\src\modules\correspondences\config.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\HRMS\frontend\src\modules\correspondences\shared.jsx", "JavaScript JSX", 0, 0, 0, 253, 0, 0, 0, 0, 0, 7, 15, 275
"c:\HRMS\frontend\src\modules\dataEntry\AbsenceForm.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\HRMS\frontend\src\modules\dataEntry\BenefitBulkImport.jsx", "JavaScript JSX", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 11, 137
"c:\HRMS\frontend\src\modules\dataEntry\BenefitForm.jsx", "JavaScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 13, 133
"c:\HRMS\frontend\src\modules\dataEntry\BenefitList.jsx", "JavaScript JSX", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 9, 133
"c:\HRMS\frontend\src\modules\dataEntry\BenefitTab.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 5, 55
"c:\HRMS\frontend\src\modules\dataEntry\DeductionForm.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\HRMS\frontend\src\modules\dataEntry\LeaveForm.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 1, 6
"c:\HRMS\frontend\src\modules\dataEntry\SalaryBulkImport.jsx", "JavaScript JSX", 0, 0, 0, 158, 0, 0, 0, 0, 0, 4, 14, 176
"c:\HRMS\frontend\src\modules\dataEntry\SalaryForm.jsx", "JavaScript JSX", 0, 0, 0, 269, 0, 0, 0, 0, 0, 9, 20, 298
"c:\HRMS\frontend\src\modules\dataEntry\SalaryList.jsx", "JavaScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 2, 9, 131
"c:\HRMS\frontend\src\modules\dataEntry\SalaryTab.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 5, 63
"c:\HRMS\frontend\src\modules\dataEntry\SharedForm.jsx", "JavaScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 14, 17, 137
"c:\HRMS\frontend\src\modules\dataEntry\config.js", "JavaScript", 0, 0, 0, 0, 0, 95, 0, 0, 0, 7, 5, 107
"c:\HRMS\frontend\src\modules\documents\Documents.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\HRMS\frontend\src\modules\employees\Employees.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
